City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Tocopilla,-22.092,-70.1979,59.85,74,31,2.82,CL,2022-08-05 02:43:09
117,Wajima,37.4,136.9,81.28,89,75,8.05,JP,2022-08-05 02:43:09
118,Chapais,49.7834,-74.8492,56.98,73,2,3.6,CA,2022-08-05 02:43:10
119,Arraial Do Cabo,-22.9661,-42.0278,71.04,85,72,24.09,BR,2022-08-05 02:43:10
120,Clyde River,70.4692,-68.5914,41.23,93,100,9.22,CA,2022-08-05 02:43:10
121,Kavaratti,10.5669,72.642,79.7,84,100,26.11,IN,2022-08-05 02:43:11
122,Borinskoye,52.4569,39.3713,64.54,80,76,6.98,RU,2022-08-05 02:43:11
123,Aitape,-3.1374,142.3475,78.35,89,100,4.65,PG,2022-08-05 02:43:12
124,Svelgen,61.7685,5.2955,50.99,88,90,9.62,NO,2022-08-05 02:43:12
125,Yorosso,12.3536,-4.7761,73.72,89,100,4.0,ML,2022-08-05 02:43:12
126,Cabo San Lucas,22.8909,-109.9124,88.11,66,0,4.61,MX,2022-08-05 02:43:13
127,Laguna,38.421,-121.4238,89.35,41,0,14.97,US,2022-08-05 02:43:13
128,Tahe,52.3333,124.7333,64.36,98,100,8.93,CN,2022-08-05 02:43:14
129,Rio Grande,-32.035,-52.0986,52.83,94,100,22.44,BR,2022-08-05 02:43:14
130,Ler,8.3018,30.1418,69.49,99,88,4.32,SS,2022-08-05 02:44:15
131,Marathon,44.9,-89.7668,72.93,78,0,0.0,US,2022-08-05 02:44:15
132,Keelung,25.1283,121.7419,96.06,70,62,5.03,TW,2022-08-05 02:44:16
133,Marsa Matruh,31.3525,27.2453,79.0,73,0,4.61,EG,2022-08-05 02:44:16
134,Tokonou,9.65,-9.7833,67.35,99,97,5.32,GN,2022-08-05 02:44:17
135,Polur,12.5,79.1333,78.73,76,100,2.71,IN,2022-08-05 02:44:17
136,Mayor Pablo Lagerenza,-19.9309,-60.7718,61.7,61,2,7.58,PY,2022-08-05 02:44:17
137,Hami,42.8,93.45,93.31,20,100,10.56,CN,2022-08-05 02:44:18
138,Talnakh,69.4865,88.3972,67.21,53,100,6.89,RU,2022-08-05 02:44:18
139,Sao Joao Da Barra,-21.6403,-41.0511,70.81,85,97,18.81,BR,2022-08-05 02:44:19
140,Tezu,27.9167,96.1667,87.46,71,84,3.13,IN,2022-08-05 02:44:19
141,Stornoway,58.2093,-6.3865,47.93,92,75,1.14,GB,2022-08-05 02:44:20
142,Ixtapa,20.7,-105.2,87.03,74,100,9.22,MX,2022-08-05 02:43:46
143,Saskylakh,71.9167,114.0833,61.57,54,93,8.81,RU,2022-08-05 02:44:20
144,Araouane,18.9048,-3.5265,93.25,34,10,11.68,ML,2022-08-05 02:44:20
