City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Finca Blanco,PA,75.24,overcast clouds,8.3833,-82.8667,Parque Infantil de Finca Blanco
368,Tomatlan,MX,77.07,overcast clouds,19.9333,-105.25,El Salvial
373,Awjilah,LY,78.12,clear sky,29.1081,21.2869,المنزل
380,San Patricio,US,84.06,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
385,Atlantic City,US,77.99,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
388,Tiruchchendur,IN,81.81,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
389,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
391,Nong Ki,TH,76.05,overcast clouds,14.6868,102.538,บ้านเพ็ชรจำปา
395,Bull Savanna,JM,76.66,broken clouds,17.8868,-77.5902,Big Red's
397,Manavalakurichi,IN,80.51,overcast clouds,8.1333,77.3,Jebinrio home
398,Portales,US,82.76,broken clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
399,Havelock,US,84.18,scattered clouds,34.8791,-76.9013,Sherwood Motel
400,Kununurra,AU,87.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
401,Kapit,MY,79.45,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
402,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
405,French Harbor,HN,77.0,overcast clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
406,Beyneu,KZ,84.65,scattered clouds,45.3167,55.2,NUR
407,Mayo,US,75.31,clear sky,38.8876,-76.5119,Resorts Resource Group International
413,Hamilton,US,75.99,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
415,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
418,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
