City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Srednekolymsk,RU,67.45,153.6833,64.96,45,100,3.18,overcast clouds
276,Zhezkazgan,KZ,47.8043,67.7144,73.38,31,0,17.9,clear sky
277,Riyadh,SA,24.6877,46.7219,91.54,19,5,8.08,clear sky
278,Uruzgan,AF,32.8333,66.0,83.1,13,0,3.42,clear sky
279,Sisimiut,GL,66.9395,-53.6735,41.5,93,99,14.47,overcast clouds
280,Gravdal,NO,68.1214,13.5031,51.87,87,100,27.72,light rain
281,Vostok,RU,46.4856,135.8833,75.18,72,100,5.91,overcast clouds
282,Mahon,ES,39.8885,4.2658,75.76,83,0,3.44,clear sky
283,Henties Bay,NA,-22.116,14.2845,55.9,83,5,2.44,clear sky
284,Twistringen,DE,52.8,8.65,50.63,92,0,6.82,clear sky
285,Mascote,BR,-15.5631,-39.3025,64.98,97,35,2.62,scattered clouds
286,Susanville,US,40.4163,-120.653,75.04,43,75,11.01,broken clouds
287,Flin Flon,CA,54.7682,-101.865,47.79,87,100,10.96,overcast clouds
288,Bac Lieu,VN,9.285,105.7244,80.82,77,100,10.96,light rain
289,Olafsvik,IS,64.8945,-23.7142,52.14,94,100,12.21,overcast clouds
290,Ancud,CL,-41.8697,-73.8203,40.23,87,5,7.54,clear sky
291,Korla,CN,41.7597,86.1469,91.26,21,77,8.86,broken clouds
292,Flinders,AU,-34.5833,150.8552,65.37,48,9,11.99,clear sky
293,Santa Monica,US,34.0195,-118.4912,84.24,65,0,12.66,clear sky
294,Bukachacha,RU,52.9833,116.9167,72.1,39,7,5.88,clear sky
295,Fukue,JP,32.6881,128.8419,85.23,80,61,12.28,broken clouds
296,Dudinka,RU,69.4058,86.1778,60.62,79,93,10.36,overcast clouds
297,Aswan,EG,24.0934,32.907,87.78,25,91,8.16,overcast clouds
298,Kanbe,MM,16.7053,96.0017,84.25,93,100,11.1,overcast clouds
299,Tadine,NC,-21.55,167.8833,76.73,74,36,8.08,scattered clouds
300,Ambanja,MG,-13.6833,48.45,68.52,75,74,3.53,broken clouds
301,Pisco,PE,-13.7,-76.2167,58.01,88,40,3.44,scattered clouds
302,Ushtobe,KZ,45.2514,77.9838,84.9,24,12,10.65,few clouds
303,Zelenoborskiy,RU,66.845,32.3622,60.08,94,100,8.7,light rain
304,Alyangula,AU,-13.8483,136.4192,82.31,65,39,8.57,scattered clouds
305,Guiyang,CN,26.5833,106.7167,76.19,79,99,9.24,overcast clouds
306,Semme,FR,46.1963,1.5007,63.01,71,0,6.08,clear sky
307,Maxixe,MZ,-23.8597,35.3472,60.62,94,0,3.44,fog
308,Pryazha,RU,61.6926,33.6216,70.25,71,22,6.46,few clouds
309,Surenavan,AM,39.75,44.8,78.21,46,0,8.99,clear sky
310,Itoman,JP,26.1247,127.6694,88.18,74,40,9.22,scattered clouds
311,Tiznit,MA,29.5833,-9.5,81.66,24,24,0.65,few clouds
312,Ust-Nera,RU,64.5667,143.2,75.7,49,94,5.5,overcast clouds
313,Chapais,CA,49.7834,-74.8492,55.09,63,100,5.88,overcast clouds
314,Mezhdurechensk,RU,53.6942,88.0603,68.95,50,0,1.97,clear sky
